  2    33  PHYS 2995 SEM     2  UNDERGRAD SEMINAR      1.0   930-1020       F                       PERMIS OF INST   BROWNE D
 14     6  PHYS 2995 SEM     4  UNDERGRAD SEMINAR      1.0  TBA                                     PERMIS OF INST   BROWNE D
 18     2  PHYS 4005         1  RESEARCH METHODS       3.0  1030-1220   M W    0205 PRESCOTT                         JOHNSON W
                     LAB                                    TBA                                                      STUVER A
  9    16  PHYS 4112         1  INTERM MATH PHYSICS    3.0   130-0250    T TH  0118 NICHOLSON                        BEAIRD R
  6    19  PHYS 4123         1  INTERM MECHANICS       3.0  1200-0120    T TH  0118 NICHOLSON                        TZANOV M
 15     5  PHYS 4142         1  INTR QUANTUM MECH      3.0  1030-1150    T TH  0118 NICHOLSON                        SINGH P
(F)     1  PHYS 4398 RES     1  UNDERGRADUATE RESEAR   1-3  TBA                                                      LEE H
(F)     1  PHYS 4398 RES     2  UNDERGRADUATE RESEAR   1-3  TBA                                     PERMIS OF DEPT   SINGH P
(F)     1  PHYS 4398 RES     3  UNDERGRADUATE RESEAR   1-3  TBA                                                      ADAMS P
(F)     1  PHYS 4398 RES     4  UNDERGRADUATE RESEAR   1-3  TBA                                     PERMIS OF DEPT   DEIBEL C
  1        PHYS 4398 RES     5  UNDERGRADUATE RESEAR   1-3  TBA                                     PERMIS OF DEPT   ADAMS P
  1        PHYS 4399 RES     1  SENIOR THESIS          3.0  TBA                                     PERMIS OF DEPT   DOWLING J
(F)     1  PHYS 4399 RES     2  SENIOR THESIS          3.0  TBA                                     PERMIS OF DEPT   STACY J
 17     8  PHYS 4995 SEM     2  UNDERGRAD SENIOR SEM   1.0  TBA                                                      STACY J
 12    13  PHYS 7221         1  CLASSICAL MECHANICS    3.0  1030-1150    T TH  0106 NICHOLSON                        AGULLO RODENA
  3    22  PHYS 7232         1  CLASSICAL ELECTRODYN   3.0   130-0250    T TH  0106 NICHOLSON                        LEE H
  5    15  PHYS 7241         1  QUANTUM MECHANICS      3.0  1200-0120    T TH  0106 NICHOLSON                        KUTTER T
  5     5  PHYS 7336         1  GENERAL RELATIVITY     3.0   900-1020    T TH  0262 NICHOLSON                        O'CONNELL R
  8     7  PHYS 7353         1  ATOM/OPTICAL PHYS I    3.0  1230-0120   M W F  0106 NICHOLSON                        SCHAFER K
  3     7  PHYS 7363         1  CONDENS MATTR PHYSIC   3.0   900-1020    T TH  0106 NICHOLSON                        VEKHTER I
  3     7  PHYS 7373         1  NUCLEAR PHYSICS        3.0  1030-1120   M W F  0106 NICHOLSON                        DEIBEL C
(F)    10  PHYS 7398 LAB     3  GRADUATE LABORATORY    3.0   230-0520   M W                                          JIN R
 12        PHYS 7537         1  RAD INTERACT/TRNSPRT   3.0   330-0450   M W    0106 NICHOLSON                        NEWHAUSER W
  4     1  PHYS 7538         1  MONTE CARLO SIMULATN   3.0   930-1020   M W F  0106 NICHOLSON                        VASSILIEV O
  6     4  PHYS 7777 SEM     1  SEM: ASTR & ASTROPHY   1-6  1200-1250    T     0262 NICHOLSON                        SCHAEFER B
  9     1  PHYS 7895         2  SELECT TOPIC IN PHYS   3.0   130-0420       F                                        BROWNE D
 10        PHYS 8000 RES     1  THESIS RESEARCH        1-12 TBA                                                      BROWNE D
  9     1  PHYS 9000 RES     1  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   ADAMS P
  8     2  PHYS 9000 RES     2  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   BLACKMON J
  9     1  PHYS 9000 RES     3  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   BROWNE D
  8     2  PHYS 9000 RES     4  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   CHERRY M
  8     2  PHYS 9000 RES     5  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   CLAYTON J
  8     2  PHYS 9000 RES     6  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   DEIBEL C
 10        PHYS 9000 RES     7  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   DIENER P
  8     2  PHYS 9000 RES     8  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   DITUSA J
  4     6  PHYS 9000 RES     9  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   DOWLING J
 10        PHYS 9000 RES    10  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   DRAAYER J
 10        PHYS 9000 RES    11  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   FRANK J
  9     1  PHYS 9000 RES    12  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   GAARDE M
  9     1  PHYS 9000 RES    13  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   GIAIME J
  6     4  PHYS 9000 RES    14  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   GONZALEZ G
  9     1  PHYS 9000 RES    16  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   HYNES R
  2     8  PHYS 9000 RES    17  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   JARRELL M
  8     2  PHYS 9000 RES    18  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   JIN R
 10        PHYS 9000 RES    19  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   JOHNSON W
 10        PHYS 9000 RES    20  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   KURTZ R
 10        PHYS 9000 RES    21  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   KUTTER T
  9     1  PHYS 9000 RES    22  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   LEE H
 10        PHYS 9000 RES    23  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   MATTHEWS J
  9     1  PHYS 9000 RES    24  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   MORENO J
  8     2  PHYS 9000 RES    25  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   PLUMMER E
 10        PHYS 9000 RES    26  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   PULLIN J
 10        PHYS 9000 RES    27  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   RAU A
  9     1  PHYS 9000 RES    28  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   SCHAEFER B
  9     1  PHYS 9000 RES    29  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   SCHAFER K
 10        PHYS 9000 RES    30  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   SHEEHY D
  8     2  PHYS 9000 RES    31  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   STADLER S
  9     1  PHYS 9000 RES    32  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   SINGH P
  9     1  PHYS 9000 RES    33  DISSERTATION RES       1-12 TBA                                     PERMIS OF DEPT   WILDE M
 10        PHYS 9000 RES    35  DISSERTATION RES       1-12 TBA                                                      VEKHTER I
  9     1  PHYS 9000 RES    36  DISSERTATION RES       1-12 TBA                                                      YOUNG D
  7     3  PHYS 9000 RES    37  DISSERTATION RES       1-12 TBA                                                      ZHANG J
  9     1  PHYS 9000 RES    38  DISSERTATION RES       1-12 TBA                                                      SPRUNGER P
  8     2  PHYS 9000 RES    39  DISSERTATION RES       1-12 TBA                                                      FONTENOT J
  9     1  PHYS 9000 RES    40  DISSERTATION RES       1-12 TBA                                                      HOGSTROM K
  8     2  PHYS 9000 RES    41  DISSERTATION RES       1-12 TBA                                                      MATTHEWS K
  8     2  PHYS 9000 RES    42  DISSERTATION RES       1-12 TBA                                                      NEWHAUSER W
  8     2  PHYS 9000 RES    43  DISSERTATION RES       1-12 TBA                                                      CORBITT T
(F)     1  PHYS 9000 RES    44  DISSERTATION RES       1-12 TBA                                                      TZANOV M
